tipo_persona_id,sexo_victima
14176.0,Masculino
643.0,No corresponde
14177.0,Masculino
644.0,No corresponde
14178.0,Masculino
645.0,No corresponde
14179.0,Masculino
646.0,No corresponde
14180.0,Masculino
647.0,No corresponde
14181.0,Femenino
648.0,No corresponde
649.0,No corresponde
14182.0,Masculino
650.0,No corresponde
14183.0,Masculino
651.0,No corresponde
14184.0,Masculino
652.0,No corresponde
14185.0,Masculino
13583.0,No corresponde
14186.0,Femenino
13584.0,No corresponde
25144.0,Femenino
653.0,No corresponde
14187.0,Femenino
654.0,No corresponde
23452.0,Masculino
655.0,No corresponde
656.0,No corresponde
14188.0,Masculino
657.0,No corresponde
14189.0,Masculino
658.0,No corresponde
14190.0,Femenino
14191.0,Masculino
659.0,No corresponde
14192.0,Masculino
660.0,No corresponde
661.0,No corresponde
14193.0,Masculino
662.0,No corresponde
14194.0,Femenino
14195.0,Masculino
14196.0,Femenino
14197.0,Femenino
23453.0,Femenino
663.0,No corresponde
14198.0,Masculino
664.0,No corresponde
14199.0,Masculino
665.0,No corresponde
14200.0,Masculino
666.0,No corresponde
14201.0,Masculino
667.0,No corresponde
14202.0,Masculino
668.0,No corresponde
14203.0,Masculino
669.0,No corresponde
14204.0,Masculino
670.0,No corresponde
14205.0,Masculino
671.0,No corresponde
14206.0,Masculino
672.0,No corresponde
14207.0,Masculino
673.0,No corresponde
14208.0,Masculino
674.0,No corresponde
14209.0,Masculino
675.0,No corresponde
14210.0,Femenino
676.0,No corresponde
14211.0,Masculino
677.0,No corresponde
14212.0,Masculino
678.0,No corresponde
14213.0,Masculino
679.0,No corresponde
14214.0,Masculino
14215.0,Femenino
680.0,No corresponde
14216.0,Masculino
681.0,No corresponde
14217.0,Femenino
682.0,No corresponde
14218.0,Masculino
683.0,No corresponde
14219.0,Femenino
684.0,No corresponde
14220.0,Masculino
685.0,No corresponde
14221.0,Masculino
686.0,No corresponde
14222.0,Masculino
14223.0,Femenino
687.0,No corresponde
688.0,No corresponde
14224.0,Masculino
689.0,No corresponde
690.0,No corresponde
691.0,No corresponde
692.0,No corresponde
14225.0,Femenino
693.0,No corresponde
14226.0,Masculino
694.0,No corresponde
695.0,No corresponde
14227.0,Femenino
698.0,No corresponde
14229.0,Masculino
699.0,No corresponde
14230.0,Masculino
700.0,No corresponde
14231.0,Femenino
701.0,No corresponde
702.0,No corresponde
14232.0,Masculino
703.0,No corresponde
14233.0,Masculino
704.0,No corresponde
14234.0,Femenino
705.0,No corresponde
706.0,No corresponde
14235.0,Masculino
707.0,No corresponde
14236.0,Masculino
708.0,No corresponde
14237.0,Masculino
709.0,No corresponde
14238.0,Masculino
710.0,No corresponde
711.0,No corresponde
14239.0,Masculino
14240.0,Masculino
712.0,No corresponde
14241.0,Masculino
713.0,No corresponde
714.0,No corresponde
14242.0,Masculino
14243.0,Femenino
715.0,No corresponde
14244.0,Femenino
716.0,No corresponde
14245.0,Masculino
717.0,No corresponde
14246.0,Masculino
718.0,No corresponde
14247.0,Masculino
719.0,No corresponde
14248.0,Masculino
720.0,No corresponde
14249.0,Femenino
721.0,No corresponde
14250.0,Masculino
722.0,No corresponde
14251.0,Masculino
723.0,No corresponde
724.0,No corresponde
14252.0,Masculino
725.0,No corresponde
14253.0,Masculino
726.0,No corresponde
14254.0,Masculino
727.0,No corresponde
728.0,No corresponde
14255.0,Masculino
14256.0,Masculino
729.0,No corresponde
14257.0,Masculino
730.0,No corresponde
14258.0,Masculino
731.0,No corresponde
14259.0,Masculino
732.0,No corresponde
14260.0,Masculino
733.0,No corresponde
14261.0,Masculino
734.0,No corresponde
14262.0,Masculino
735.0,No corresponde
14263.0,Masculino
736.0,No corresponde
14264.0,Masculino
737.0,No corresponde
738.0,No corresponde
